# time,best-fit temperature,best-fit radius,best-fit luminosity
3.125000000000000000e-01 1.079028791516183628e+04 6.019417342619248488e+28 3.518242432528845959e+70
3.250000000000000111e-01 1.064209244064724589e+04 6.174450476440253689e+28 3.502591190627619919e+70
3.375000000000000222e-01 1.049593230558226605e+04 6.334028239361543585e+28 3.487617067636789678e+70
3.500000000000000333e-01 1.042360673976401085e+04 6.397745323794551696e+28 3.461072429887821553e+70
3.624999999999999889e-01 1.028044732093309722e+04 6.564205844268847415e+28 3.447443447512414621e+70
3.750000000000000000e-01 1.020960662306047561e+04 6.631266569799271887e+28 3.422265731997441175e+70
3.875000000000000111e-01 1.013925407558814368e+04 6.699426371981663453e+28 3.397691789514465489e+70
4.000000000000000222e-01 1.000000000000000000e+04 6.875262442935786071e+28 3.385815440267122212e+70
4.125000000000000333e-01 9.931091813749801076e+03 6.946853363863061441e+28 3.362396858265813127e+70
4.249999999999999889e-01 9.862658461312819782e+03 7.019567004321810166e+28 3.339499197623114395e+70
4.375000000000000000e-01 9.727203192450537244e+03 7.205094961143336939e+28 3.329017589054645147e+70
4.500000000000000111e-01 9.660174799522645117e+03 7.281337161480779752e+28 3.307097070436373626e+70
4.625000000000000222e-01 9.593608287093147737e+03 7.358729300324093618e+28 3.285627327232285072e+70
4.750000000000000333e-01 9.527500472427289424e+03 7.437277661133098655e+28 3.264589856142041526e+70
4.874999999999999889e-01 9.461848194722002518e+03 7.516988793029546522e+28 3.243967011381410745e+70
5.000000000000000000e-01 9.396648314954691159e+03 7.597869537267225141e+28 3.223741986906930110e+70
5.124999999999999556e-01 9.267593301146882368e+03 7.800941012894414663e+28 3.215485648217116781e+70
5.250000000000000222e-01 9.203731996618220364e+03 7.885539542954906580e+28 3.195975219985424836e+70
5.374999999999999778e-01 9.140310748756231987e+03 7.971343183248257495e+28 3.176812458289475069e+70
5.500000000000000444e-01 9.077326525210222826e+03 8.058360438951696174e+28 3.157984028569828800e+70
5.625000000000000000e-01 9.014776314524917325e+03 8.146600181416440684e+28 3.139477280931000416e+70
5.750000000000000666e-01 8.952657125996400282e+03 8.236071659556821590e+28 3.121280224094258979e+70
5.875000000000000222e-01 8.890965989529158833e+03 8.326784509644702505e+28 3.103381498981335036e+70
5.999999999999999778e-01 8.829699955494092137e+03 8.418748763626159657e+28 3.085770352120975234e+70
6.125000000000000444e-01 8.768856094587426924e+03 8.511974856047098039e+28 3.068436609028992116e+70
6.250000000000000000e-01 8.768856094587426924e+03 8.472754459230716096e+28 3.040225048834342571e+70
6.375000000000000666e-01 8.708431497690724427e+03 8.567052340420880067e+28 3.023481530059076634e+70
6.500000000000000222e-01 8.648423275731725880e+03 8.662630112160992318e+28 3.006990173871562668e+70
6.624999999999999778e-01 8.588828559546249380e+03 8.759499562844487467e+28 2.990742663183141566e+70
6.750000000000000444e-01 8.529644499741025356e+03 8.857672896891592220e+28 2.974731141531730460e+70
6.875000000000000000e-01 8.470868266557401512e+03 8.957162734386358114e+28 2.958948187696027343e+70
7.000000000000000666e-01 8.412497049736119152e+03 9.057982109922731973e+28 2.943386791034710518e+70
7.125000000000000222e-01 8.354528058382871677e+03 9.160144470749989422e+28 2.928040327606976614e+70
7.249999999999999778e-01 8.354528058382871677e+03 9.119508193195652936e+28 2.902119177638457743e+70
7.375000000000000444e-01 8.296958520834907176e+03 9.222801503907966018e+28 2.887261493180405582e+70
7.500000000000000000e-01 8.239785684528520505e+03 9.327462634404868228e+28 2.872601740283097308e+70
7.625000000000000666e-01 8.183006815867389378e+03 9.433506330391130640e+28 2.858134496904252821e+70
7.750000000000000222e-01 8.126619200091945459e+03 9.540947728862003434e+28 2.843854627999969063e+70
7.874999999999999778e-01 8.126619200091945459e+03 9.499470258575201519e+28 2.819182131372652392e+70
8.000000000000000444e-01 8.070620141149507617e+03 9.608087155572970100e+28 2.805344592837592511e+70
8.125000000000000000e-01 8.015006961565404708e+03 9.718130153077358485e+28 2.791680787202576101e+70
8.250000000000000666e-01 7.959777002314986021e+03 9.829615572148253513e+28 2.778186456716587211e+70
8.375000000000000222e-01 7.959777002314986021e+03 9.787506139333742557e+28 2.754434302644785355e+70
8.499999999999999778e-01 7.904927622696420258e+03 9.900204697270548505e+28 2.741351087816700294e+70
8.625000000000000444e-01 7.850456200204509514e+03 1.001437644100625856e+29 2.728425653973725923e+70
8.750000000000000000e-01 7.796360130405237214e+03 1.013003878066860840e+29 2.715654420736716630e+70
8.875000000000000666e-01 7.796360130405237214e+03 1.008728021812686985e+29 2.692777427300200442e+70
9.000000000000000222e-01 7.742636826811270112e+03 1.020419662869621522e+29 2.680389527669692001e+70
9.124999999999999778e-01 7.689283720758313393e+03 1.032263647969274796e+29 2.668145631592493958e+70
9.250000000000000444e-01 7.689283720758313393e+03 1.027946986030729988e+29 2.645877287382113297e+70
9.375000000000000000e-01 7.636298261282241583e+03 1.039919167765934230e+29 2.633997858882267315e+70
9.500000000000000666e-01 7.583677914997190783e+03 1.052047100587270523e+29 2.622253095820865698e+70
9.625000000000000222e-01 7.583677914997190783e+03 1.047689007206459075e+29 2.600572785837308010e+70
9.749999999999999778e-01 7.531420165974375777e+03 1.059948009393740506e+29 2.589174698100090593e+70
9.875000000000000444e-01 7.479522515621821185e+03 1.072366282266363704e+29 2.577902666594485661e+70
1.000000000000000000e+00 7.479522515621821185e+03 1.067965982305187081e+29 2.556789970507923352e+70
